epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,896.912,1.32853,2.6752,3.56908,1.45175,0.36262,0.28582,0.19818,0.13986,0.36375,0.29219,0.19644,0.12934,1.09144,2.10006,2.4433,1.304,0.000123021,0.000123021,0.000123021
2,1892.35,1.12141,2.03052,2.22364,1.26761,0.42955,0.44596,0.34031,0.24895,0.42948,0.44887,0.34144,0.23481,0.93603,1.76904,1.74369,1.16649,0.000240257,0.000240257,0.000240257
3,9429.88,1.02315,1.83278,1.80738,1.19097,0.37964,0.57815,0.42628,0.3126,0.37994,0.57836,0.42814,0.29243,0.89782,1.62344,1.50343,1.11567,0.000351388,0.000351388,0.000351388
4,10322.8,0.9858,1.73371,1.61229,1.1553,0.43031,0.6044,0.47523,0.36086,0.43066,0.60465,0.47548,0.33803,0.83979,1.51132,1.40329,1.07664,0.000342528,0.000342528,0.000342528
5,11211.9,0.93612,1.64733,1.46108,1.12098,0.45548,0.65202,0.52488,0.40599,0.45734,0.65076,0.52854,0.38855,0.80846,1.47488,1.20912,1.05149,0.00033337,0.00033337,0.00033337
6,12094.4,0.91742,1.58998,1.4,1.10918,0.48683,0.656,0.54051,0.41591,0.48719,0.65186,0.54497,0.3947,0.79821,1.3818,1.17301,1.03884,0.000324212,0.000324212,0.000324212
7,12988.1,0.88249,1.53254,1.28426,1.086,0.53584,0.6428,0.60289,0.47534,0.50302,0.68922,0.60229,0.45863,0.75694,1.33824,1.04547,1.01649,0.000315055,0.000315055,0.000315055
8,13883.9,0.86612,1.49754,1.23318,1.07602,0.53415,0.66843,0.58043,0.45924,0.53633,0.66548,0.58258,0.43799,0.74146,1.29686,1.05202,1.005,0.000305897,0.000305897,0.000305897
9,14816,0.85378,1.46958,1.18583,1.06545,0.52077,0.71515,0.58566,0.46193,0.52478,0.7161,0.5913,0.44467,0.72368,1.25208,0.99466,0.99429,0.00029674,0.00029674,0.00029674
10,15733.7,0.83741,1.44683,1.14495,1.06065,0.51258,0.67956,0.58296,0.46125,0.52119,0.66347,0.58686,0.43833,0.74195,1.24105,1.00523,1.00025,0.000287582,0.000287582,0.000287582
11,16646.8,0.82065,1.41025,1.11002,1.05096,0.48987,0.66002,0.55199,0.43632,0.49551,0.66431,0.55451,0.41701,0.72487,1.25894,1.07279,0.99346,0.000278425,0.000278425,0.000278425
12,17555.1,0.8173,1.38898,1.07985,1.04483,0.53516,0.72594,0.60154,0.48369,0.54054,0.73462,0.61285,0.46306,0.71448,1.20133,0.9111,0.98754,0.000269268,0.000269268,0.000269268
13,20955.2,0.8068,1.3703,1.05153,1.04115,0.55801,0.74404,0.63756,0.50867,0.56456,0.75219,0.64509,0.48938,0.70326,1.21145,0.87256,0.97713,0.00026011,0.00026011,0.00026011
14,21793.8,0.79416,1.34644,1.0217,1.03401,0.52655,0.76224,0.60967,0.49161,0.52576,0.7602,0.61519,0.47385,0.70732,1.20706,0.88419,0.98146,0.000250952,0.000250952,0.000250952
15,22633,0.78835,1.34024,1.00226,1.02914,0.57936,0.77379,0.65869,0.5314,0.58878,0.77748,0.66938,0.51334,0.69486,1.19739,0.78878,0.97437,0.000241795,0.000241795,0.000241795
16,23477.6,0.7731,1.30903,0.97445,1.02155,0.54,0.7655,0.64571,0.52412,0.54398,0.77184,0.66249,0.50939,0.69557,1.11662,0.82868,0.97467,0.000232638,0.000232638,0.000232638
17,24334.3,0.7699,1.30097,0.9563,1.02064,0.5224,0.7951,0.64597,0.51949,0.52464,0.79325,0.65309,0.50078,0.68449,1.1762,0.78682,0.96566,0.00022348,0.00022348,0.00022348
18,25184.5,0.76088,1.27666,0.94705,1.01835,0.54692,0.77006,0.64072,0.52978,0.54639,0.76905,0.649,0.50411,0.6769,1.16618,0.80157,0.96281,0.000214322,0.000214322,0.000214322
19,26028.3,0.75688,1.27411,0.93261,1.01156,0.55152,0.7973,0.66361,0.54138,0.55695,0.81599,0.67941,0.52568,0.67544,1.13796,0.74168,0.9594,0.000205165,0.000205165,0.000205165
20,26875.7,0.74551,1.25125,0.90774,1.00932,0.5093,0.75566,0.5948,0.49169,0.51441,0.76843,0.60845,0.47628,0.65955,1.10699,0.82476,0.95253,0.000196008,0.000196008,0.000196008
21,27721,0.738,1.24143,0.89169,1.00311,0.54656,0.78629,0.6593,0.54331,0.55646,0.79313,0.67197,0.52548,0.65797,1.12062,0.74026,0.95373,0.00018685,0.00018685,0.00018685
22,28567.3,0.73565,1.22727,0.87813,1.00522,0.53741,0.71889,0.63621,0.52646,0.55077,0.70599,0.64779,0.50597,0.65286,1.06561,0.75918,0.94584,0.000177692,0.000177692,0.000177692
23,29418.3,0.72749,1.21699,0.86551,0.99601,0.55694,0.79672,0.65809,0.54787,0.56028,0.80194,0.6679,0.53104,0.64835,1.06416,0.72642,0.94363,0.000168535,0.000168535,0.000168535
